Open,High,Low,Close,Adj Close,Volume
387.75,392.0,387.25,391.5,391.5,103987
391.5,392.0,385.5,386.5,386.5,125931
386.25,387.75,382.75,384.75,384.75,112130
385.0,385.75,383.5,384.5,384.5,93541
384.0,385.5,382.25,384.25,384.25,135523
383.75,387.0,382.25,383.25,383.25,130937
383.25,386.75,376.5,385.75,385.75,226659
386.5,389.5,385.5,389.5,389.5,139994
389.25,390.5,388.25,389.0,389.0,115957
388.75,390.25,386.5,387.5,387.5,141478
387.25,387.75,375.25,375.5,375.5,230557
377.0,389.5,376.75,389.25,389.25,293121
389.0,389.25,384.25,387.5,387.5,182958
387.5,391.0,386.75,388.75,388.75,155603
388.5,394.0,387.5,393.75,393.75,256298
393.25,393.25,386.5,387.25,387.25,196121
384.25,384.75,377.25,380.5,380.5,264471
382.5,387.0,378.5,386.5,386.5,243266
385.5,388.25,382.75,384.25,384.25,136811
384.5,385.0,378.5,379.5,379.5,160206
381.5,382.75,378.75,381.25,381.25,151805
380.5,382.0,376.5,378.75,378.75,216443
378.25,383.5,378.25,382.25,382.25,176002
381.5,383.25,379.5,380.75,380.75,122103
380.25,381.75,376.0,379.25,379.25,191891
380.25,385.0,380.0,383.5,383.5,256721
383.25,383.5,379.0,381.75,381.75,219017
381.0,382.0,378.0,379.75,379.75,200407
379.75,383.75,378.25,383.0,383.0,241461
382.25,382.75,379.0,379.5,379.5,202459
379.5,381.5,376.25,377.75,377.75,216864
378.5,383.25,378.0,383.0,383.0,215110
382.25,382.75,378.5,380.5,380.5,172265
380.75,381.25,378.0,378.5,378.5,173142
378.25,380.5,376.25,377.0,377.0,169068
376.25,376.25,370.0,372.25,372.25,170528
373.0,374.75,371.25,372.5,372.5,119868
372.0,374.0,368.25,370.5,370.5,268795
369.75,370.0,361.75,364.5,364.5,156142
364.5,367.25,362.75,366.5,366.5,18809
366.5,375.75,366.0,374.75,374.75,6092
375.75,383.75,375.75,381.75,381.75,3194
382.0,388.5,380.0,387.0,387.0,3275
387.5,387.5,382.0,384.5,384.5,1830
383.75,385.5,377.0,377.25,377.25,1277
372.0,377.5,368.5,374.25,374.25,921
379.0,381.5,377.5,380.0,380.0,605
380.25,380.5,377.0,379.25,379.25,942
377.5,377.5,367.0,369.75,369.75,342
370.0,375.5,370.0,370.75,370.75,191029
362.5,367.75,354.0,354.75,354.75,188791
355.25,356.75,342.75,344.0,344.0,219215
344.0,345.25,332.0,335.25,335.25,255105
336.5,354.75,336.5,345.5,345.5,223252
346.5,356.75,342.25,343.75,343.75,189068
340.25,345.5,338.25,343.5,343.5,114729
343.5,350.5,338.0,347.25,347.25,126658
347.5,352.75,345.75,348.5,348.5,118826
348.25,349.25,343.75,348.75,348.75,113530
348.5,350.0,342.5,346.0,346.0,114028
343.0,346.75,340.0,341.25,341.25,108485
341.75,344.75,333.5,340.75,340.75,208191
341.25,342.75,333.5,334.75,334.75,151929
335.0,343.25,333.0,333.5,333.5,151692
334.5,338.5,328.0,330.75,330.75,158652
329.75,331.75,325.5,327.75,327.75,111044
