T2M,PS,WS10M
2.77,100.75,7.42
4.67,101.25,5.45
7.05,100.88,3.3
7.83,100.27,3.63
3.59,100.94,8.99
4.03,101.46,6.31
3.72,101.47,4.43
2.07,101.6,9.19
-0.53,103.75,4.88
6.35,103.26,6.02
10.12,102.25,8.52
11.68,101.79,9.26
6.08,102.72,4.15
5.9,102.34,3.64
6.93,101.94,3.95
6.12,101.4,10.28
-2.05,103.35,9.6
-0.54,102.63,5.49
3.22,100.8,8.05
-2.68,102.35,8.55
-2.29,102.97,5.15
-0.19,102.99,2.44
3.47,102.77,2.4
5.19,102.56,3.8
6.12,101.22,9.36
4.11,100.84,5.84
3.65,100.57,6.66
2.78,100.98,6.82
1.1,101.76,6.23
0.35,102.47,3.91
4.1,102.41,2.57
3.82,101.15,2.16
3.26,100.12,4.41
5.9,100.83,4.38
7.56,100.8,3.32
5.19,101.47,5.12
4.93,100.22,4.19
5.37,99.0,8.65
1.81,102.04,6.45
4.13,102.99,3.48
5.98,102.1,6.11
6.31,101.23,2.8
4.14,101.95,5.05
5.66,100.62,5.66
-0.98,102.45,8.2
-3.4,103.33,4.61
3.01,102.11,5.18
4.43,102.32,3.47
5.97,102.04,5.31
4.33,102.29,6.44
0.21,102.98,5.16
-1.56,103.03,5.76
2.62,102.4,6.05
4.23,102.09,4.79
5.51,101.57,3.63
6.34,101.08,2.76
6.33,101.02,4.68
4.09,100.1,11.93
1.61,101.04,8.87
-0.29,101.23,7.67
1.19,101.99,6.17
6.71,101.4,7.4
8.31,100.37,5.65
7.71,100.69,7.38
5.41,101.81,4.45
5.43,101.08,6.04
3.38,102.13,8.47
5.37,102.93,5.31
8.62,102.58,6.23
10.35,101.69,7.27
7.6,101.82,3.3
6.89,101.89,4.59
10.55,101.12,7.84
7.05,102.5,5.11
6.47,102.96,3.81
3.78,103.23,6.37
7.15,102.13,3.95
6.36,102.96,4.09
7.98,102.27,3.44
11.57,101.27,6.27
6.81,102.4,5.59
3.11,103.53,7.0
4.41,102.37,9.43
5.95,101.85,4.66
5.73,101.65,7.74
6.45,101.41,5.02
10.37,101.09,4.06
8.11,101.7,5.44
8.08,101.14,4.65
6.7,101.26,2.91
5.86,101.43,4.29
6.48,100.75,5.84
7.65,100.42,9.02
7.95,100.4,8.93
8.6,101.41,4.55
9.54,101.59,3.55
10.56,101.5,3.41
9.69,101.08,3.63
10.93,100.01,4.0
9.52,99.38,8.2
6.31,99.76,10.53
6.78,101.26,6.76
9.25,101.95,6.0
12.76,100.61,11.64
9.17,101.54,4.23
7.28,101.39,5.55
6.35,101.81,7.15
5.81,102.1,5.53
6.36,100.76,6.2
8.12,101.03,6.88
8.55,100.37,4.66
8.93,100.14,8.24
5.69,101.12,7.66
5.69,101.59,2.95
8.17,100.67,5.59
8.83,101.65,3.03
8.32,100.95,7.93
7.17,101.19,6.91
9.4,101.89,3.88
9.53,102.11,7.1
